Survived,Pclass,SibSp,Parch,Ticket,Fare,Relatives,0_10,10_20,20_30,30_40,40_50,50_60,60_70,70_80,80_90,90_100,Embarked_C,Embarked_Q,Embarked_S,Sex_female,Sex_male,title
0,0.6931471805599453,0.11778303565638346,0.0,0.5704809178045265,0.01405186602861203,0.09531017980432493,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.4489502200479032
1,0.0,0.11778303565638346,0.0,0.6293926657345829,0.13026984802557665,0.09531017980432493,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0.47000362924573563
1,0.6931471805599453,0.0,0.0,0.6850260580376035,0.015350151109302577,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0.3829922522561059
1,0.0,0.11778303565638346,0.0,0.06958093383850573,0.09861770160548049,0.09531017980432493,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0.47000362924573563
0,0.6931471805599453,0.0,0.0,0.5271620430856842,0.015590389411477197,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.4489502200479032
0,0.6931471805599453,0.0,0.0,0.3396185423105778,0.016374701896558316,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.4489502200479032
0,0.0,0.0,0.0,0.11778303565638346,0.09642670019066911,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0.4489502200479032
0,0.6931471805599453,0.3184537311185346,0.15415067982725836,0.45798314239161086,0.040312098559000725,0.3364722366212129,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.31237468504215243
1,0.6931471805599453,0.0,0.28768207245178085,0.4093790074293007,0.021498007333324947,0.1823215567939546,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0.47000362924573563
1,0.4054651081081644,0.11778303565638346,0.0,0.17740754199152556,0.05703634945252453,0.09531017980432493,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0.47000362924573563
1,0.6931471805599453,0.11778303565638346,0.15415067982725836,0.6449450787420675,0.032076241648970306,0.1823215567939546,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.3829922522561059
1,0.0,0.0,0.0,0.05437677087807182,0.0505240398785738,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0.3829922522561059
0,0.6931471805599453,0.0,0.0,0.5804065576044963,0.015590389411477197,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.4489502200479032
0,0.6931471805599453,0.11778303565638346,0.6061358035703155,0.398578706078531,0.05925402134279556,0.47000362924573563,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.4489502200479032
0,0.6931471805599453,0.0,0.0,0.4745886900063862,0.015214054528192307,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0.3829922522561059
1,0.4054651081081644,0.0,0.0,0.20294084399669038,0.03075218709515891,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0.47000362924573563
0,0.6931471805599453,0.4054651081081644,0.15415067982725836,0.5340824859302579,0.0552910958195755,0.4054651081081644,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.31237468504215243
1,0.4054651081081644,0.0,0.0,0.2005369966852959,0.025057726524795907,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.4489502200479032
